"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.11.2022","1.057,464","1.005,222","1.058,021","990,587","","5,42%"
"30.10.2022","1.003,130","983,013","1.004,380","967,874","","2,01%"
"23.10.2022","983,335","990,974","1.001,793","980,254","","-0,80%"
"16.10.2022","991,284","981,928","996,684","967,567","","0,91%"
"09.10.2022","982,309","1.012,583","1.019,096","980,587","","-2,95%"
"02.10.2022","1.012,208","987,713","1.035,019","987,713","","2,48%"
"25.09.2022","987,688","973,710","998,298","960,081","","1,49%"
"18.09.2022","973,152","983,231","994,914","970,511","","-1,05%"
"11.09.2022","983,516","1.005,324","1.017,018","972,116","","-2,33%"
"04.09.2022","1.006,955","1.002,885","1.014,090","991,299","","0,48%"
"28.08.2022","1.002,159","1.014,801","1.020,506","988,612","","-1,25%"
"21.08.2022","1.014,888","1.016,030","1.031,379","1.006,624","","-0,17%"
"14.08.2022","1.016,640","1.040,761","1.040,761","1.015,953","","-2,19%"
"07.08.2022","1.039,365","1.023,089","1.042,624","1.020,496","","1,60%"
"31.07.2022","1.023,011","1.017,869","1.035,958","1.012,408","","0,54%"
"24.07.2022","1.017,502","987,415","1.019,620","982,018","","3,19%"
"17.07.2022","986,089","948,549","991,338","948,549","","3,21%"
"10.07.2022","955,379","967,931","979,591","946,272","","-1,21%"
"03.07.2022","967,094","976,123","988,031","957,655","","-0,74%"
"26.06.2022","974,280","990,515","990,515","950,208","","-1,82%"
"19.06.2022","992,311","1.021,449","1.031,867","968,824","","-3,24%"
"12.06.2022","1.025,518","1.036,268","1.042,683","1.000,884","","-0,42%"
"05.06.2022","1.029,855","981,905","1.033,046","950,924","","5,22%"
"29.05.2022","978,732","975,314","993,419","964,340","","1,26%"
"22.05.2022","966,517","945,834","981,486","935,932","","2,38%"
"15.05.2022","944,012","902,071","949,326","893,856","","4,68%"
"08.05.2022","901,800","905,251","918,830","895,375","","-0,46%"
"01.05.2022","906,001","905,928","912,151","884,895","","0,07%"
"24.04.2022","905,365","915,363","917,176","891,710","","-1,13%"
"17.04.2022","915,673","928,623","940,873","913,931","","-1,47%"
"10.04.2022","929,371","923,087","930,735","916,657","","0,61%"
"03.04.2022","923,726","909,007","924,225","904,818","","1,67%"
"27.03.2022","908,554","933,681","934,574","886,079","","-2,72%"
"20.03.2022","933,930","916,241","937,938","912,065","","2,12%"
"13.03.2022","914,542","941,827","947,694","894,963","","-2,99%"
"06.03.2022","942,695","902,165","968,501","902,165","","5,23%"
"27.02.2022","895,832","853,933","900,734","839,994","","6,74%"
"20.02.2022","839,291","834,506","920,632","825,167","","0,69%"
"13.02.2022","833,534","808,256","834,269","803,761","","3,21%"
"06.02.2022","807,644","787,781","810,105","787,781","","2,33%"
"30.01.2022","789,275","779,524","792,965","766,308","","1,04%"
"23.01.2022","781,148","794,395","805,740","773,848","","-1,61%"
"16.01.2022","793,917","789,663","802,782","782,271","","0,53%"
"09.01.2022","789,764","801,037","809,979","771,477","","-1,26%"
"02.01.2022","799,832","793,409","817,648","750,801","","2,58%"
"26.12.2021","779,684","633,885","798,818","628,440","","22,01%"
"19.12.2021","639,055","961,768","1.062,746","594,904","","-32,74%"
"12.12.2021","950,100","795,573","995,392","784,368","","19,36%"
"05.12.2021","795,984","785,222","798,865","771,465","","1,23%"
"28.11.2021","786,349","713,000","792,770","707,313","","9,85%"
"21.11.2021","715,850","666,165","773,547","650,339","","7,98%"
"14.11.2021","662,917","600,016","676,144","594,343","","10,64%"
"07.11.2021","599,151","567,583","601,282","564,103","","5,70%"
"31.10.2021","566,830","550,438","566,857","545,873","","2,89%"
"24.10.2021","550,934","554,313","567,990","544,168","","-0,46%"
"17.10.2021","553,476","526,342","561,030","525,043","","5,06%"
"10.10.2021","526,808","506,330","531,608","503,554","","3,93%"
"03.10.2021","506,888","501,687","509,731","497,529","","1,07%"
"26.09.2021","501,519","498,770","503,980","492,430","","0,24%"
"19.09.2021","500,331","487,768","502,078","484,566","","2,58%"
"12.09.2021","487,740","486,249","491,306","478,214","","0,15%"
"05.09.2021","487,028","489,054","490,249","480,704","","-0,44%"
"29.08.2021","489,202","488,244","490,187","480,507","","0,23%"
"22.08.2021","488,077","486,975","491,234","479,345","","0,35%"
"15.08.2021","486,391","487,921","492,076","481,977","","-0,24%"
"08.08.2021","487,541","489,517","489,633","466,506","","-0,41%"
"01.08.2021","489,558","492,347","498,530","482,728","","-0,71%"
"25.07.2021","493,070","493,070","493,070","493,070","","-0,53%"
"18.07.2021","495,700","496,799","502,188","492,338","","-0,17%"
"11.07.2021","496,561","503,419","506,289","495,016","","-1,37%"
"04.07.2021","503,458","499,008","508,261","497,968","","0,80%"
"27.06.2021","499,472","502,012","502,269","488,979","","-0,52%"
"20.06.2021","502,058","496,386","505,922","492,591","","1,19%"
"13.06.2021","496,160","506,338","514,955","492,891","","-2,10%"
"06.06.2021","506,815","526,459","527,774","504,036","","-3,85%"
"30.05.2021","527,130","524,254","530,304","518,372","","0,56%"
"23.05.2021","524,211","508,544","524,692","504,842","","2,95%"
"16.05.2021","509,166","500,931","510,360","495,168","","1,59%"
"09.05.2021","501,212","485,294","501,710","484,858","","3,31%"
"02.05.2021","485,159","471,626","489,019","471,029","","2,90%"
"25.04.2021","471,483","481,285","484,989","463,392","","-1,72%"
"18.04.2021","479,740","461,202","483,156","458,930","","4,03%"
"11.04.2021","461,150","458,496","463,333","450,126","","0,69%"
"04.04.2021","458,012","455,193","461,483","449,489","","0,88%"
"28.03.2021","454,005","450,206","460,192","444,252","","0,65%"
"21.03.2021","451,077","405,041","475,513","405,041","","11,38%"
"14.03.2021","404,981","420,235","424,026","402,816","","-3,63%"
"07.03.2021","420,247","411,744","422,763","411,619","","2,04%"
"28.02.2021","411,865","414,326","416,799","400,585","","-0,59%"
"21.02.2021","414,315","400,249","423,954","398,938","","3,75%"
"14.02.2021","399,326","412,626","412,947","395,007","","-3,32%"
"07.02.2021","413,019","411,744","422,046","408,862","","0,36%"
"31.01.2021","411,545","434,847","437,533","407,327","","-5,36%"
"24.01.2021","434,835","442,256","444,131","433,520","","-1,78%"
"17.01.2021","442,713","438,834","447,152","434,990","","0,73%"
"10.01.2021","439,492","438,559","449,785","431,566","","0,21%"
"03.01.2021","438,559","454,337","466,184","433,892","","-3,42%"
"27.12.2020","454,099","456,089","461,719","441,437","","-0,44%"
"20.12.2020","456,089","463,857","472,356","454,988","","-1,17%"
"13.12.2020","461,471","464,830","474,854","459,420","","-0,74%"
"06.12.2020","464,921","461,491","473,032","459,348","","0,77%"
"29.11.2020","461,371","451,215","468,773","440,253","","2,37%"
"22.11.2020","450,681","459,739","477,337","447,113","","-1,82%"
"15.11.2020","459,042","465,577","474,060","449,569","","-1,51%"
"08.11.2020","466,096","534,820","534,820","459,524","","-12,88%"
"01.11.2020","534,981","504,838","539,962","504,433","","5,60%"
"25.10.2020","506,603","487,345","508,726","484,861","","3,99%"
"18.10.2020","487,167","484,736","491,525","479,304","","0,53%"
"11.10.2020","484,609","486,831","489,964","480,209","","-0,63%"
"04.10.2020","487,690","474,807","489,573","469,694","","2,71%"
"27.09.2020","474,836","459,040","479,309","458,221","","3,47%"
"20.09.2020","458,897","474,264","476,070","451,303","","-3,27%"
"13.09.2020","474,408","466,547","477,417","465,760","","1,72%"
"06.09.2020","466,383","462,649","470,829","458,555","","0,70%"
"30.08.2020","463,130","463,456","472,370","458,290","","0,02%"
"23.08.2020","463,046","454,947","465,433","450,289","","1,15%"
"16.08.2020","457,779","461,091","478,096","444,011","","-0,68%"
"09.08.2020","460,936","473,777","481,756","433,725","","-3,05%"
"02.08.2020","475,440","444,650","488,075","440,129","","7,35%"
"26.07.2020","442,907","418,422","444,920","418,130","","5,84%"
"19.07.2020","418,478","398,690","419,800","398,170","","4,83%"
"12.07.2020","399,204","397,371","400,510","395,464","","0,51%"
"05.07.2020","397,163","391,436","401,199","390,528","","1,35%"
"28.06.2020","391,889","391,034","394,330","387,416","","0,37%"
"21.06.2020","390,459","384,851","392,319","383,650","","1,70%"
"14.06.2020","383,928","379,372","384,423","374,860","","1,24%"
"07.06.2020","379,229","366,231","383,254","364,913","","3,30%"
"31.05.2020","367,118","380,875","382,181","364,476","","-3,15%"
"24.05.2020","379,040","379,957","381,604","368,592","","-0,26%"
"17.05.2020","380,011","386,624","390,925","375,501","","-1,73%"
"10.05.2020","386,699","387,981","390,815","381,821","","-0,30%"
"03.05.2020","387,869","383,462","396,334","381,796","","1,08%"
"26.04.2020","383,740","386,292","387,053","375,432","","-0,84%"
"19.04.2020","386,980","374,196","389,512","370,168","","3,17%"
"12.04.2020","375,094","364,989","387,545","362,522","","3,78%"
"05.04.2020","361,430","348,880","364,430","348,316","","3,22%"
"29.03.2020","350,141","338,317","351,861","333,960","","3,83%"
"22.03.2020","337,217","317,568","339,573","313,224","","6,86%"
"15.03.2020","315,557","315,001","320,442","299,141","","1,33%"
"08.03.2020","311,420","333,383","339,031","306,331","","-5,15%"
"01.03.2020","328,329","319,847","331,711","313,842","","3,17%"
"23.02.2020","318,226","325,587","334,192","313,669","","-1,25%"
"16.02.2020","322,265","308,022","324,216","306,768","","4,46%"
"09.02.2020","308,493","302,750","308,627","301,843","","1,62%"
"02.02.2020","303,577","305,674","306,132","297,340","","-0,67%"
"26.01.2020","305,612","302,123","305,937","298,677","","1,84%"
"19.01.2020","300,083","295,436","301,171","294,857","","1,81%"
"12.01.2020","294,737","294,822","295,921","289,722","","-0,17%"
"05.01.2020","295,234","300,737","309,727","291,408","","-0,91%"
"29.12.2019","297,960","289,152","298,495","288,919","","3,07%"
"22.12.2019","289,095","282,236","290,269","282,141","","2,42%"
"15.12.2019","282,251","275,706","283,106","275,221","","2,38%"
"08.12.2019","275,680","271,178","276,670","271,145","","1,60%"
"01.12.2019","271,347","270,454","274,429","268,592","","0,30%"
"24.11.2019","270,543","268,509","271,185","267,446","","0,73%"
"17.11.2019","268,573","271,282","272,156","267,732","","-0,98%"
"10.11.2019","271,220","270,682","273,115","268,550","","0,24%"
"03.11.2019","270,559","277,524","278,794","269,357","","-2,78%"
"27.10.2019","278,295","278,948","279,612","272,621","","-0,38%"
"20.10.2019","279,357","277,990","281,429","274,628","","0,68%"
"13.10.2019","277,472","282,043","285,572","275,664","","-1,47%"
"06.10.2019","281,608","277,264","286,661","276,123","","2,23%"
"29.09.2019","275,455","272,480","278,343","265,728","","0,90%"
"22.09.2019","272,992","279,108","281,451","270,986","","-2,50%"
"15.09.2019","279,997","276,350","280,239","271,401","","2,86%"
"08.09.2019","272,207","276,354","280,164","271,434","","-1,66%"
"01.09.2019","276,815","287,502","287,906","275,441","","-2,97%"
"25.08.2019","285,284","286,131","299,615","284,254","","1,04%"
"18.08.2019","282,344","271,263","283,820","268,685","","3,97%"
"11.08.2019","271,573","264,651","277,072","264,156","","2,72%"
"04.08.2019","264,388","257,859","266,684","256,714","","2,67%"
"28.07.2019","257,508","258,309","261,024","251,161","","-0,38%"
"21.07.2019","258,495","259,431","264,698","256,038","","-0,27%"
"14.07.2019","259,198","260,404","262,572","255,799","","-0,49%"
"07.07.2019","260,468","259,452","261,384","254,241","","2,87%"
"30.06.2019","253,192","256,456","261,235","251,193","","-3,48%"
"23.06.2019","262,308","258,911","268,826","257,725","","0,19%"
"16.06.2019","261,810","255,251","262,484","251,135","","2,91%"
"09.06.2019","254,410","250,435","258,581","244,909","","1,21%"
"02.06.2019","251,369","245,807","252,002","242,926","","2,55%"
"26.05.2019","245,123","251,767","252,235","240,846","","-2,44%"
"19.05.2019","251,245","248,775","253,416","246,631","","0,92%"
"12.05.2019","248,965","248,557","255,449","246,066","","0,58%"
"05.05.2019","247,524","246,997","258,418","246,505","","0,93%"
"28.04.2019","245,243","245,952","246,962","243,036","","-0,08%"
"21.04.2019","245,448","239,289","246,383","237,525","","3,09%"
"14.04.2019","238,097","239,467","241,313","234,146","","-0,65%"
"07.04.2019","239,666","234,157","242,397","234,111","","2,65%"
"31.03.2019","233,488","232,346","236,442","225,568","","0,76%"
"24.03.2019","231,719","242,683","242,814","224,169","","-4,76%"
