"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"06.11.2022","18,5783","18,5960","18,7129","18,4147","","0,07%"
"30.10.2022","18,5657","18,5940","18,7257","18,4598","","-0,08%"
"23.10.2022","18,5813","18,5960","18,7120","18,4335","","-0,04%"
"16.10.2022","18,5884","18,5760","18,6933","18,4517","","0,16%"
"09.10.2022","18,5585","18,5823","18,7070","18,4487","","-0,02%"
"02.10.2022","18,5620","18,4895","18,6941","18,3515","","0,34%"
"25.09.2022","18,5000","18,4040","18,6262","18,3223","","0,47%"
"18.09.2022","18,4131","18,2565","18,4900","18,1649","","0,87%"
"11.09.2022","18,2543","18,2233","18,3587","18,1268","","0,11%"
"04.09.2022","18,2334","18,1971","18,3345","18,1050","","0,31%"
"28.08.2022","18,1777","18,1647","18,3442","18,0800","","0,19%"
"21.08.2022","18,1433","18,0807","18,3405","17,9849","","0,32%"
"14.08.2022","18,0850","17,9324","18,2017","17,8083","","0,85%"
"07.08.2022","17,9324","17,9116","18,0604","17,6443","","0,12%"
"31.07.2022","17,9101","17,9084","18,0674","17,7670","","-0,01%"
"24.07.2022","17,9114","17,7394","18,0470","17,5436","","1,10%"
"17.07.2022","17,7173","17,3521","17,8305","17,2558","","1,85%"
"10.07.2022","17,3950","17,2738","17,5660","17,2043","","0,73%"
"03.07.2022","17,2683","16,7634","17,3968","16,6516","","3,02%"
"26.06.2022","16,7613","16,8648","16,9228","16,0021","","-0,74%"
"19.06.2022","16,8860","17,3165","17,4713","16,4858","","-2,54%"
"12.06.2022","17,3255","17,1488","17,4037","16,9430","","1,49%"
"05.06.2022","17,0718","16,4464","17,3320","16,3468","","4,02%"
"29.05.2022","16,4126","16,2179","16,5907","16,1632","","1,43%"
"22.05.2022","16,1807","15,9084","16,5295","15,6410","","1,80%"
"15.05.2022","15,8951","15,4793","16,0490","15,3958","","2,70%"
"08.05.2022","15,4769","14,9380","15,5602","14,8624","","3,55%"
"01.05.2022","14,9468","14,8462","14,9867","14,6820","","0,71%"
"24.04.2022","14,8416","14,7400","14,9055","14,6642","","0,73%"
"17.04.2022","14,7339","14,6327","14,7926","14,5311","","0,72%"
"10.04.2022","14,6280","14,7420","14,8153","14,4779","","-0,79%"
"03.04.2022","14,7441","14,6861","14,8174","14,6200","","0,42%"
"27.03.2022","14,6825","14,8352","14,9347","14,5252","","-0,99%"
"20.03.2022","14,8286","14,8117","14,9250","14,7040","","0,26%"
"13.03.2022","14,7899","14,7597","14,9675","14,4815","","0,21%"
"06.03.2022","14,7595","14,1515","15,0425","14,0854","","4,05%"
"27.02.2022","14,1845","13,8237","14,4431","13,6515","","2,64%"
"20.02.2022","13,8196","13,6729","14,7314","13,5491","","1,30%"
"13.02.2022","13,6426","13,5212","13,7419","13,3962","","0,92%"
"06.02.2022","13,5177","13,5679","13,7458","13,3923","","-0,31%"
"30.01.2022","13,5596","13,5365","13,7474","13,1972","","0,07%"
"23.01.2022","13,5507","13,4555","13,8010","13,2300","","0,89%"
"16.01.2022","13,4317","13,5263","13,8287","13,1509","","-0,66%"
"09.01.2022","13,5214","13,8645","14,0410","13,1383","","-2,52%"
"02.01.2022","13,8710","13,4532","14,0557","12,6503","","4,17%"
"26.12.2021","13,3161","10,7513","13,6993","10,6654","","25,06%"
"19.12.2021","10,6480","16,4848","18,3674","10,1565","","-35,13%"
"12.12.2021","16,4135","13,8725","17,1630","13,6450","","18,28%"
"05.12.2021","13,8774","13,6941","13,9743","13,4176","","1,29%"
"28.11.2021","13,7000","12,4014","13,9745","12,3266","","10,28%"
"21.11.2021","12,4229","11,2305","13,5276","10,9373","","10,61%"
"14.11.2021","11,2310","9,9885","11,3482","9,9364","","12,59%"
"07.11.2021","9,9751","9,6955","10,0280","9,6510","","3,11%"
"31.10.2021","9,6741","9,6070","9,7864","9,4570","","0,74%"
"24.10.2021","9,6030","9,6049","9,8595","9,3990","","0,29%"
"17.10.2021","9,5757","9,2608","9,6650","9,1948","","3,50%"
"10.10.2021","9,2517","8,9822","9,2836","8,9085","","3,24%"
"03.10.2021","8,9614","8,8615","8,9900","8,8230","","1,20%"
"26.09.2021","8,8552","8,8833","8,9607","8,8062","","-0,26%"
"19.09.2021","8,8786","8,6461","8,9010","8,5778","","2,90%"
"12.09.2021","8,6283","8,4694","8,6643","8,4003","","2,05%"
"05.09.2021","8,4553","8,3236","8,5257","8,2600","","1,81%"
"29.08.2021","8,3049","8,3546","8,3969","8,2551","","-0,46%"
"22.08.2021","8,3434","8,4939","8,5107","8,3315","","-1,67%"
"15.08.2021","8,4852","8,5242","8,5814","8,2712","","-0,37%"
"08.08.2021","8,5171","8,6215","8,6885","8,4925","","-1,15%"
"01.08.2021","8,6160","8,4539","8,6490","8,2840","","2,17%"
"25.07.2021","8,4333","8,5584","8,6302","8,3824","","-1,33%"
"18.07.2021","8,5471","8,5255","8,6187","8,4881","","0,38%"
"11.07.2021","8,5144","8,6661","8,6809","8,4756","","-1,52%"
"04.07.2021","8,6461","8,6900","8,7409","8,6198","","-0,38%"
"27.06.2021","8,6792","8,7670","8,7739","8,6350","","-0,80%"
"20.06.2021","8,7493","8,7376","8,8086","8,5852","","0,27%"
"13.06.2021","8,7257","8,3881","8,7610","8,2915","","4,10%"
"06.06.2021","8,3818","8,6687","8,6937","8,2647","","-3,17%"
"30.05.2021","8,6563","8,5604","8,7855","8,4558","","1,26%"
"23.05.2021","8,5484","8,4170","8,6237","8,3604","","1,69%"
"16.05.2021","8,4066","8,4680","8,4718","8,2898","","-0,41%"
"09.05.2021","8,4413","8,2429","8,5163","8,2140","","2,52%"
"02.05.2021","8,2336","8,2891","8,3823","8,2080","","-0,48%"
"25.04.2021","8,2735","8,3934","8,4942","8,1213","","-1,23%"
"18.04.2021","8,3762","8,0746","8,4256","8,0235","","3,97%"
"11.04.2021","8,0567","8,1655","8,2371","8,0007","","-1,19%"
"04.04.2021","8,1534","8,1695","8,2560","8,0805","","-0,10%"
"28.03.2021","8,1619","8,1192","8,4677","7,9745","","0,33%"
"21.03.2021","8,1350","7,2185","8,1812","7,2180","","12,77%"
"14.03.2021","7,2140","7,5635","7,6411","7,1909","","-4,56%"
"07.03.2021","7,5586","7,5380","7,7876","7,4270","","0,32%"
"28.02.2021","7,5348","7,4269","7,5856","7,2181","","1,51%"
"21.02.2021","7,4226","6,9637","7,4925","6,9576","","6,67%"
"14.02.2021","6,9587","7,0355","7,0603","6,8882","","-1,04%"
"07.02.2021","7,0319","7,0601","7,1451","7,0037","","-0,24%"
"31.01.2021","7,0488","7,3151","7,3177","7,0289","","-3,57%"
"24.01.2021","7,3099","7,4147","7,4376","7,2695","","-1,36%"
"17.01.2021","7,4106","7,4729","7,5458","7,3440","","-0,84%"
"10.01.2021","7,4733","7,3636","7,5321","7,3463","","1,38%"
"03.01.2021","7,3713","7,4403","7,4470","7,2372","","-0,88%"
"27.12.2020","7,4371","7,5716","7,5756","7,3030","","-1,46%"
"20.12.2020","7,5470","7,6310","7,7376","7,5305","","-1,01%"
"13.12.2020","7,6239","7,8601","7,9392","7,6122","","-2,96%"
"06.12.2020","7,8562","7,8029","8,0347","7,7865","","0,75%"
"29.11.2020","7,7981","7,8353","7,9250","7,7424","","-0,45%"
"22.11.2020","7,8332","7,6400","8,0530","7,6349","","2,63%"
"15.11.2020","7,6323","7,6612","7,8061","7,5035","","-0,36%"
"08.11.2020","7,6602","8,4316","8,4543","7,5936","","-10,09%"
"01.11.2020","8,5200","8,3467","8,5876","8,3401","","2,10%"
"25.10.2020","8,3448","7,9645","8,3899","7,9585","","4,82%"
"18.10.2020","7,9610","7,9353","7,9880","7,7792","","0,39%"
"11.10.2020","7,9304","7,8602","7,9612","7,8510","","0,94%"
"04.10.2020","7,8566","7,7714","7,9591","7,7206","","1,10%"
"27.09.2020","7,7708","7,6648","7,8669","7,6219","","1,44%"
"20.09.2020","7,6607","7,5608","7,7228","7,4915","","1,38%"
"13.09.2020","7,5563","7,4720","7,5932","7,4548","","1,12%"
"06.09.2020","7,4724","7,4360","7,5056","7,3977","","0,53%"
"30.08.2020","7,4331","7,3314","7,4651","7,3110","","1,37%"
"23.08.2020","7,3329","7,3332","7,4212","7,2727","","-0,05%"
"16.08.2020","7,3365","7,3750","7,4036","7,1840","","-0,41%"
"09.08.2020","7,3664","7,2898","7,3885","7,1753","","1,03%"
"02.08.2020","7,2911","6,9745","7,3755","6,8868","","4,60%"
"26.07.2020","6,9702","6,8468","7,0169","6,8355","","1,84%"
"19.07.2020","6,8446","6,8586","6,8688","6,8165","","-0,16%"
"12.07.2020","6,8553","6,8677","6,8776","6,8419","","-0,09%"
"05.07.2020","6,8618","6,8618","6,8758","6,8359","","0,03%"
"28.06.2020","6,8596","6,8539","6,8773","6,8361","","0,13%"
"21.06.2020","6,8506","6,8478","6,8637","6,8265","","0,01%"
"14.06.2020","6,8498","6,8136","6,8646","6,8054","","0,58%"
"07.06.2020","6,8106","6,7673","6,8572","6,7570","","0,63%"
"31.05.2020","6,7680","6,8221","6,8293","6,6835","","-0,74%"
"24.05.2020","6,8182","6,8146","6,8437","6,6957","","0,11%"
"17.05.2020","6,8107","6,8991","6,9036","6,7536","","-1,28%"
"10.05.2020","6,8992","7,0844","7,1118","6,8928","","-2,58%"
"03.05.2020","7,0820","7,0158","7,2712","6,9965","","1,06%"
"26.04.2020","7,0080","6,9707","7,0441","6,9426","","0,51%"
"19.04.2020","6,9722","6,9314","7,0097","6,8714","","0,61%"
"12.04.2020","6,9300","6,7033","6,9605","6,7009","","3,49%"
"05.04.2020","6,6961","6,7291","6,7979","6,6164","","-0,49%"
"29.03.2020","6,7290","6,4549","6,7517","6,4433","","4,28%"
"22.03.2020","6,4530","6,5528","6,6185","6,3773","","-1,49%"
"15.03.2020","6,5505","6,3320","6,5665","6,2775","","3,48%"
"08.03.2020","6,3301","6,0903","6,3400","6,0860","","3,94%"
"01.03.2020","6,0899","6,2432","6,2610","6,0303","","-2,39%"
"23.02.2020","6,2387","6,0979","6,2579","6,0662","","2,40%"
"16.02.2020","6,0924","6,0531","6,1269","6,0340","","0,72%"
"09.02.2020","6,0490","6,0154","6,0699","5,9736","","0,58%"
"02.02.2020","6,0143","5,9819","6,0500","5,9585","","0,55%"
"26.01.2020","5,9812","5,9392","5,9886","5,9278","","0,73%"
"19.01.2020","5,9381","5,8820","5,9489","5,8820","","0,82%"
"12.01.2020","5,8898","5,8785","5,9126","5,8341","","0,22%"
"05.01.2020","5,8767","5,9722","5,9893","5,8552","","-1,58%"
"29.12.2019","5,9713","5,9493","5,9792","5,9350","","0,37%"
"22.12.2019","5,9492","5,9388","5,9617","5,9165","","0,23%"
"15.12.2019","5,9356","5,8081","5,9457","5,8027","","2,21%"
"08.12.2019","5,8072","5,7758","5,8268","5,7603","","0,55%"
"01.12.2019","5,7756","5,7465","5,7906","5,7257","","0,52%"
"24.11.2019","5,7460","5,7173","5,8107","5,6993","","0,59%"
"17.11.2019","5,7122","5,7434","5,7570","5,6813","","-0,56%"
"10.11.2019","5,7443","5,7671","5,7973","5,7308","","-0,37%"
"03.11.2019","5,7658","5,7085","5,7737","5,6790","","1,17%"
"27.10.2019","5,6989","5,7746","5,7771","5,6947","","-1,30%"
"20.10.2019","5,7738","5,7920","5,8678","5,7234","","-0,30%"
"13.10.2019","5,7909","5,8852","5,9416","5,7473","","-1,57%"
"06.10.2019","5,8833","5,7140","5,9018","5,6980","","3,30%"
"29.09.2019","5,6952","5,6708","5,7599","5,6330","","0,45%"
"22.09.2019","5,6698","5,7432","5,7472","5,6427","","-1,27%"
"15.09.2019","5,7429","5,6858","5,7527","5,6535","","1,02%"
"08.09.2019","5,6851","5,7147","5,7944","5,6476","","-0,51%"
"01.09.2019","5,7145","5,8316","5,8440","5,6435","","-1,97%"
"25.08.2019","5,8296","5,7612","5,8608","5,7606","","1,23%"
