Date,bist,grama,Hac,dolar,sp500
17-08-2014,789.3,89.566,2.89,2.1755,4325.7642000000005
24-08-2014,803.13,89.526,2.32,2.1639,4335.092342999999
31-08-2014,821.93,88.069,2.52,2.159,4334.64589
07-09-2014,778.21,87.76,2.82,2.223,4413.85542
14-09-2014,769.22,87.366,2.72,2.2347,4492.640880000001
21-09-2014,746.32,88.573,2.87,2.2623,4485.801555
28-09-2014,743.84,87.874,2.52,2.2942,4514.75618
05-10-2014,734.94,90.013,1.94,2.2884,4361.987892000001
12-10-2014,755.33,89.405,3.84,2.246,4237.66296
19-10-2014,794.17,88.301,3.55,2.2313,4383.567354
26-10-2014,805.8,83.814,2.35,2.224,4488.1432
02-11-2014,779.58,85.454,3.79,2.258,4588.07536
09-11-2014,812.12,85.23,3.68,2.2296,4547.982672
16-11-2014,832.82,85.833,4.02,2.2218,4584.6843
23-11-2014,861.69,83.353,3.9,2.2196,4589.1561759999995
30-11-2014,852.4,86.694,3.9,2.261,4692.41157
07-12-2014,832.26,90.363,3.28,2.299,4603.35667
14-12-2014,835.74,88.918,3.83,2.3121,4787.549865
21-12-2014,849.47,89.128,2.15,2.3175,4840.724475
28-12-2014,854.59,89.601,1.59,2.3442,4824.832439999999
04-01-2015,876.48,90.245,3.58,2.295,4692.838949999999
11-01-2015,874.16,95.819,3.54,2.3229,4690.910718000001
18-01-2015,907.36,97.787,3.39,2.3483,4818.288906000001
25-01-2015,889.46,100.761,3.03,2.4464,4880.543536
01-02-2015,849.87,98.146,3.45,2.474,5085.23278
08-02-2015,858.09,97.121,3.85,2.4581,5154.611118999999
15-02-2015,854.89,94.891,2.99,2.4526,5175.72178
22-02-2015,841.48,97.824,3.72,2.5088,5279.7696
01-03-2015,803.1,98.534,3.66,2.6243,5435.607618
08-03-2015,766.42,98.288,3.76,2.6397,5420.35998
15-03-2015,825.06,97.874,3.45,2.573,5424.141299999999
22-03-2015,808.94,100.642,3.31,2.6102,5379.674403999999
29-03-2015,829.94,99.925,2.74,2.5719,5316.014424
05-04-2015,826.46,102.062,3.07,2.6287,5525.685122
12-04-2015,824.18,103.735,3.68,2.6782,5573.816276
19-04-2015,855.51,103.771,2.94,2.7144,5748.257736
26-04-2015,839.47,102.571,2.95,2.7079,5709.038491
03-05-2015,840.6,102.88,3.0,2.6953,5703.52433
10-05-2015,876.05,101.428,3.59,2.5759,5467.940207
17-05-2015,858.04,100.803,2.66,2.5991,5525.842546
24-05-2015,829.81,101.953,2.86,2.663,5611.9795699999995
31-05-2015,819.43,100.269,3.2,2.6621,5571.322743
07-06-2015,805.33,103.081,3.77,2.7128,5680.901608
14-06-2015,824.54,103.985,2.78,2.6951,5686.634048999999
21-06-2015,835.46,100.731,3.01,2.6649,5600.260700999999
28-06-2015,812.17,101.202,2.47,2.6885,5583.42303
05-07-2015,827.92,99.723,2.52,2.6667,5537.722554
12-07-2015,827.9,96.725,1.87,2.6526,5641.125264
19-07-2015,787.12,96.726,2.79,2.7377,5693.457805
26-07-2015,799.1,97.604,2.65,2.771,5829.74064
02-08-2015,784.27,97.754,2.2,2.7802,5776.060114
09-08-2015,773.09,101.641,2.5,2.834,5927.42436
